"Año";"Periodo";"Casos de coronavirus"
"2020";"Día 5 de febrero";"0"
"2020";"Día 6 de febrero";"0"
"2020";"Día 7 de febrero";"0"
"2020";"Día 8 de febrero";"0"
"2020";"Día 9 de febrero";"0"
"2020";"Día 10 de febrero";"0"
"2020";"Día 11 de febrero";"0"
"2020";"Día 12 de febrero";"0"
"2020";"Día 13 de febrero";"0"
"2020";"Día 14 de febrero";"0"
"2020";"Día 15 de febrero";"0"
"2020";"Día 16 de febrero";"0"
"2020";"Día 17 de febrero";"0"
"2020";"Día 18 de febrero";"0"
"2020";"Día 19 de febrero";"0"
"2020";"Día 20 de febrero";"0"
"2020";"Día 21 de febrero";"0"
"2020";"Día 22 de febrero";"0"
"2020";"Día 23 de febrero";"0"
"2020";"Día 24 de febrero";"0"
"2020";"Día 25 de febrero";"0"
"2020";"Día 26 de febrero";"0"
"2020";"Día 27 de febrero";"0"
"2020";"Día 28 de febrero";"0"
"2020";"Día 29 de febrero";"0"
"2020";"Día 1 de marzo";"0"
"2020";"Día 2 de marzo";"0"
"2020";"Día 3 de marzo";"0"
"2020";"Día 4 de marzo";"0"
"2020";"Día 5 de marzo";"0"
"2020";"Día 6 de marzo";"0"
"2020";"Día 7 de marzo";"0"
"2020";"Día 8 de marzo";"0"
"2020";"Día 9 de marzo";"0"
"2020";"Día 10 de marzo";"0"
"2020";"Día 11 de marzo";"0"
"2020";"Día 12 de marzo";"0"
"2020";"Día 13 de marzo";"0"
"2020";"Día 14 de marzo";"0"
"2020";"Día 15 de marzo";"0"
"2020";"Día 16 de marzo";"0"
"2020";"Día 17 de marzo";"0"
"2020";"Día 18 de marzo";"0"
"2020";"Día 19 de marzo";"1"
"2020";"Día 20 de marzo";"0"
"2020";"Día 21 de marzo";"2"
"2020";"Día 22 de marzo";"0"
"2020";"Día 23 de marzo";"0"
"2020";"Día 24 de marzo";"2"
"2020";"Día 25 de marzo";"4"
"2020";"Día 26 de marzo";"4"
"2020";"Día 27 de marzo";"0"
"2020";"Día 28 de marzo";"6"
"2020";"Día 29 de marzo";"5"
"2020";"Día 30 de marzo";"6"
"2020";"Día 31 de marzo";"2"
"2020";"Día 1 de abril";"0"
"2020";"Día 2 de abril";"9"
"2020";"Día 3 de abril";"5"
"2020";"Día 4 de abril";"10"
"2020";"Día 5 de abril";"6"
"2020";"Día 6 de abril";"7"
"2020";"Día 7 de abril";"9"
"2020";"Día 8 de abril";"15"
"2020";"Día 9 de abril";"10"
"2020";"Día 10 de abril";"14"
"2020";"Día 11 de abril";"1"
"2020";"Día 12 de abril";"7"
"2020";"Día 13 de abril";"12"
"2020";"Día 14 de abril";"12"
"2020";"Día 15 de abril";"10"
"2020";"Día 16 de abril";"5"
"2020";"Día 17 de abril";"13"
"2020";"Día 18 de abril";"13"
"2020";"Día 19 de abril";"11"
"2020";"Día 20 de abril";"17"
"2020";"Día 21 de abril";"7"
"2020";"Día 22 de abril";"12"
"2020";"Día 23 de abril";"13"
"2020";"Día 24 de abril";"24"
"2020";"Día 25 de abril";"0"
"2020";"Día 26 de abril";"24"
"2020";"Día 27 de abril";"25"
"2020";"Día 28 de abril";"22"
"2020";"Día 29 de abril";"32"
"2020";"Día 30 de abril";"18"
"2020";"Día 1 de mayo";"29"
"2020";"Día 2 de mayo";"22"
"2020";"Día 3 de mayo";"44"
"2020";"Día 4 de mayo";"65"
"2020";"Día 5 de mayo";"32"
"2020";"Día 6 de mayo";"46"
"2020";"Día 7 de mayo";"62"
"2020";"Día 8 de mayo";"47"
"2020";"Día 9 de mayo";"42"
"2020";"Día 10 de mayo";"105"
"2020";"Día 11 de mayo";"69"
"2020";"Día 12 de mayo";"40"
"2020";"Día 13 de mayo";"39"
"2020";"Día 14 de mayo";"75"
"2020";"Día 15 de mayo";"98"
"2020";"Día 16 de mayo";"55"
"2020";"Día 17 de mayo";"73"
"2020";"Día 18 de mayo";"75"
"2020";"Día 19 de mayo";"85"
"2020";"Día 20 de mayo";"73"
"2020";"Día 21 de mayo";"69"
"2020";"Día 22 de mayo";"85"
"2020";"Día 23 de mayo";"94"
"2020";"Día 24 de mayo";"96"
"2020";"Día 25 de mayo";"68"
"2020";"Día 26 de mayo";"59"
"2020";"Día 27 de mayo";"67"
"2020";"Día 28 de mayo";"85"
"2020";"Día 29 de mayo";"84"
"2020";"Día 30 de mayo";"117"
"2020";"Día 31 de mayo";"122"
"2020";"Día 1 de junio";"65"
"2020";"Día 2 de junio";"71"
"2020";"Día 3 de junio";"52"
"2020";"Día 4 de junio";"76"
"2020";"Día 5 de junio";"68"
"2020";"Día 6 de junio";"85"
"2020";"Día 7 de junio";"81"
"2020";"Día 8 de junio";"89"
"2020";"Día 9 de junio";"87"
"2020";"Día 10 de junio";"83"
"2020";"Día 11 de junio";"99"
"2020";"Día 12 de junio";"108"
"2020";"Día 13 de junio";"122"
"2020";"Día 14 de junio";"117"
"2020";"Día 15 de junio";"106"
"2020";"Día 16 de junio";"115"
"2020";"Día 17 de junio";"125"
"2020";"Día 18 de junio";"134"
"2020";"Día 19 de junio";"129"
"2020";"Día 20 de junio";"146"
"2020";"Día 21 de junio";"151"
"2020";"Día 22 de junio";"182"
"2020";"Día 23 de junio";"165"
"2020";"Día 24 de junio";"177"
"2020";"Día 25 de junio";"186"
"2020";"Día 26 de junio";"181"
"2020";"Día 27 de junio";"210"
"2020";"Día 28 de junio";"207"
"2020";"Día 29 de junio";"239"
"2020";"Día 30 de junio";"265"
"2020";"Día 1 de julio";"298"
"2020";"Día 2 de julio";"264"
"2020";"Día 3 de julio";"267"
"2020";"Día 4 de julio";"240"
"2020";"Día 5 de julio";"270"
"2020";"Día 6 de julio";"250"
"2020";"Día 7 de julio";"280"
"2020";"Día 8 de julio";"259"
"2020";"Día 9 de julio";"278"
"2020";"Día 10 de julio";"298"
"2020";"Día 11 de julio";"249"
